Isolate ID,Species Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,ICTV_ID,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome,Host source,Accessions Link
VMR1028127,1,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Chiyouviridae,,Wargodvirus,,Wargodvirus xiongnu,ICTV202420188,E,Bathyarchaeia bifangarchaeales Chiyouvirus 1,BbCV1,,PP467602,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000002,2,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus beppuense,ICTV201908643,E,Sulfolobus filamentous virus 1,SFV1,SFV1 isolate S48,MH447526,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000001,3,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus umijigokuense,ICTV201908644,E,Sulfolobales Beppu filamentous virus 2,SBFV2,SBFV2 clone B,MK064563,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000003,4,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus acidiani,ICTV20094000,E,Acidianus filamentous virus 3,AFV3,,AM087120,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000008,5,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus hveragerdiense,ICTV20041365,E,Sulfolobus islandicus filamentous virus,SIFV,,AF440571,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000005,6,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pezzuloense,ICTV20094002,E,Acidianus filamentous virus 7,AFV7,,AM087122,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000004,7,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pozzuoliense,ICTV20094001,E,Acidianus filamentous virus 6,AFV6,,AM087121,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000006,8,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus puteoliense,ICTV20094003,E,Acidianus filamentous virus 8,AFV8,,AM087123,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000007,9,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus uzonense,ICTV20094004,E,Acidianus filamentous virus 9,AFV9,,EU545650,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000010,10,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus beppuense,ICTV201908645,E,Sulfolobales Beppu filamentous virus 3,SBFV3,SBFV3 clone C,MK064564,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000009,11,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus pozzuoliense,ICTV20084110,E,Acidianus filamentous virus 2,AFV2,,AJ854042,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000011,12,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Azorudivirus furnasense,ICTV202011720,E,Stygiolobus rod-shaped virus,SRV,,FM164764,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000013,13,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus acidiani,ICTV202011717,E,Acidianus rod-shaped virus 3,ARV3,,MN876842,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000014,14,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus metallosphaerae,ICTV202011718,E,Metallosphaera rod-shaped virus 1,MRV1,,MN876843,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000012,15,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus pozzuoliense,ICTV202011716,E,Acidianus rod-shaped virus 2,ARV2,,KP282675,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000015,16,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus saccharolobi,ICTV202011719,E,Saccharolobus solfataricus rod-shaped virus 1,SSRV1,,MN876841,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000018,17,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus gunnuhverense,ICTV202011709,E,Sulfolobus islandicus rod-shaped virus 3,SIRV3,,KX712143,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000017,18,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus hveragerdiense,ICTV19991653,E,Sulfolobus islandicus rod-shaped virus 2,SIRV2,,AJ344259,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000016,19,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus kverkfjoellense,ICTV19972219,E,Sulfolobus islandicus rod-shaped virus 1,SIRV1,,AJ414696,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000019,20,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,Itarudivirus pozzuoliense,ICTV20084855,E,Acidianus rod-shaped virus 1,ARV1,,AJ875026,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000020,21,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,Japarudivirus beppuense,ICTV202011721,E,Sulfolobales Beppu rod-shaped virus 1,SBRV1,,MK064565,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000021,22,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,Mexirudivirus azufresense,ICTV202011722,E,Sulfolobales Mexican rod-shaped virus 1,SMRV1,,JX944686,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000022,23,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus acidum,ICTV202011714,E,Sulfolobus islandicus rod-shaped virus 10,SIRV10,,KY744230,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000027,24,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus aestus,ICTV202011713,E,Sulfolobus islandicus rod-shaped virus 9,SIRV9,,KY744228,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000026,25,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus caloris,ICTV202011712,E,Sulfolobus islandicus rod-shaped virus 8,SIRV8,,KY744229,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000023,26,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus dryadis,ICTV202011715,E,Sulfolobus islandicus rod-shaped virus 11,SIRV11,,KY744234,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000025,27,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus nymphense,ICTV202011711,E,Sulfolobus islandicus rod-shaped virus 5,SIRV5,,KY744233,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000024,28,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus yellowstonense,ICTV202011710,E,Sulfolobus islandicus rod-shaped virus 4,SIRV4,,KY744231,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000028,29,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Ungulaviridae,,Captovirus,,Captovirus yellowstonense,ICTV20041366,E,Acidianus filamentous virus 1,AFV1,,AJ567472,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000029,30,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Maximonvirales,,Ahmunviridae,,Yumkaaxvirus,,Yumkaaxvirus pescaderoense,ICTV202214297,E,Methanophagales virus PBV300,PBV300,,OP413840,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000030,31,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus pozzuoliense,ICTV20165504,E,Pyrobaculum filamentous virus 1,PFV1,,KU307456,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000031,32,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus puteoliense,ICTV202012054,E,Pyrobaculum filamentous virus 2,PFV2,,MN876844,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000032,33,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Betatristromavirus,,Betatristromavirus kraflaense,ICTV19871208,E,Thermoproteus tenax virus 1,TTV1,KRA1,X14855,Partial genome,dsDNA,archaea,NCBI Nucleotide
VMR1000033,34,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo1,ICTV20093038,E,Lucké tumor herpesvirus; ranid herpesvirus 1,LTHV; RaHV1,McKinnell,DQ665917,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000034,35,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo2,ICTV20093039,E,frog virus 4; ranid herpesvirus 2,FV4; RaHV2,Rafferty,DQ665652,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000035,36,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo3,ICTV20175570,E,ranid herpesvirus 3,RaHV3,FO1_2015,KX832224,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000036,37,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus anguillidallo1,ICTV20115694,E,Japanese eel herpesvirus; anguillid herpesvirus 1,AngHV1,500138,FJ940765,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000037,38,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo1,ICTV20093040,E,carp pox herpesvirus; cyprinid herpesvirus 1,CyHV1,NG-J1,JQ815363,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000038,39,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo2,ICTV20093041,E,goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,CyHV2,ST-J1,JQ815364,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000039,40,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo3,ICTV20083037,E,koi herpesvirus; cyprinid herpesvirus 3,KHV; CyHV3,KHV-U,DQ657948,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000040,41,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus acipenseridallo2,ICTV20093043,E,white sturgeon herpesvirus 2; acipenserid herpesvirus 2,AciHV2,SRWSHV,FJ815289,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000041,42,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus ictaluridallo1,ICTV19981539,E,channel catfish virus; ictalurid herpesvirus 1,CCV; IcHV1,Auburn 1,M75136,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000042,43,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus ictaluridallo2,ICTV20093045,E,black bullhead herpesvirus; ictalurid herpesvirus 2,IcHV2,760/94,MG271984,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000043,44,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo1,ICTV20093046,E,herpesvirus salmonis; salmonid herpesvirus 1,SalHV1,Winthrop,AF023673,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000044,45,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo2,ICTV20093047,E,Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,SalHV2,NeVTA,EU349274,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000045,46,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo3,ICTV20095288,E,epizootic epitheliotropic disease virus; salmonid herpesvirus 3,SalHV3,Wisconsin epidemic,EU349277,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000046,47,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Malacoherpesviridae,,Aurivirus,,Aurivirus haliotidmalaco1,ICTV20125911,E,abalone herpesvirus; haliotid herpesvirus 1,AbHV1; HaHV1,Victoria/AUS/2009,JX453331,Complete genome,dsDNA,invertebrates,NCBI Nucleotide
VMR1000047,48,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Malacoherpesviridae,,Ostreavirus,,Ostreavirus ostreidmalaco1,ICTV20083116,E,oyster herpesvirus; ostreid herpesvirus 1,OHV; OsHV1,,AY509253,Complete genome,dsDNA,invertebrates,NCBI Nucleotide
VMR1000048,49,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus cacatuidalpha2,ICTV202214013,E,cacatuid alphaherpesvirus 2,CcAHV2,CaHV2/Melbourne/2015,MK360902,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000049,50,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus gallidalpha1,ICTV19951033,E,gallid alphaherpesvirus 1; infectious laryngotracheitis virus,GaAHV1; ILTV,SA2,JN596962,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000050,51,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus psittacidalpha1,ICTV20073819,E,psittacid alphaherpesvirus 1; Pacheco's disease virus,PsAHV1; PDV,97-0001,AY372243,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000051,52,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus psittacidalpha5,ICTV202214014,E,psittacid alphaherpesvirus 5,PsAHV5,16-4047,MK955929,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000052,53,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus anatidalpha1,ICTV20115693,E,anatid alphaherpesvirus 1; duck enteritis virus,AnAHV1; DEV,2085,JF999965,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000053,54,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus columbidalpha1,ICTV20083040,E,columbid alphaherpesvirus 1; pigeon herpesvirus,CoAHV1; PHV,HLJ,KX589235,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000054,55,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus gallidalpha2,ICTV19981472,E,gallid alphaherpesvirus 2; Marek's disease virus,GaAHV2; MDV,Md5,AF243438,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000055,56,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus gallidalpha3,ICTV19981473,E,gallid alphaherpesvirus 3; gallid herpesvirus 3,GaAHV3,SB-1,HQ840738,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000056,57,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus meleagridalpha1,ICTV19951077,E,meleagrid alphaherpesvirus 1; turkey herpesvirus,MeAHV1; HVT,FC-126 (Burmenester),AF291866,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000057,58,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus spheniscidalpha1,ICTV201856397,E,spheniscid alphaherpesvirus 1,SpAHV1,lib01004,LT608135,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000058,59,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus chelonidalpha5,ICTV20083054,E,chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,ChAHV5; FPTHV,CH-651-60O9,HQ878327,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000059,60,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus testudinidalpha3,ICTV201856398,E,testudinid alphaherpesvirus 3; testudinid herpesvirus 3,TeAHV3; TeHV3,1976,KM924292,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000060,61,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus atelinealpha1,ICTV19951019,E,ateline alphaherpesvirus 1; herpesvirus ateles 1,AtAHV1; HVA1,Lennette,KY385637,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000061,62,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus bovinealpha2,ICTV19790328,E,bovine alphaherpesvirus 2; bovine mammillitis virus,BoAHV2; BMV,C1Z FZR,MT862163,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000062,63,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus cercopithecinealpha2,ICTV19951023,E,cercopithecine alphaherpesvirus 2; simian agent 8,CeAHV2; SA8,B264,AY714813,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000063,64,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha1,ICTV19710176,E,human alphaherpesvirus 1; herpes simplex virus 1,HuAHV1; HSV1,17,JN555585,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000064,65,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha2,ICTV19760237,E,human alphaherpesvirus 2; herpes simplex virus 2,HuAHV2; HSV2,HG52,JN561323,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000065,66,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus leporidalpha4,ICTV20093863,E,leporid alphaherpesvirus 4; leporid herpesvirus 4,LeAHV4; LHV4,LHV4012612,JQ596859,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000066,67,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha1,ICTV19951015,E,macacine alphaherpesvirus 1; B-virus,McAHV1; BV,E2490,AF533768,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000067,68,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha2,ICTV202008779,E,macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,McAHV2,8100812,KY628968,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000068,69,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha3,ICTV202008780,E,macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,McAHV3,KQ,KY628970,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000069,70,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha1,ICTV20041256,E,macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,MaAHV1,MaHV1.3076/08,KT594769,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000070,71,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha2,ICTV20041257,E,macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,MaAHV2,V3077/08,MT900475,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000071,72,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha4,ICTV202214015,E,macropodid alphaherpesvirus 4,MaAHV4,V3116/09,MT900474,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000072,73,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus paninealpha3,ICTV20150869,E,panine alphaherpesvirus 3; chimpanzee herpesvirus,PnAHV3; ChHV,105640,JQ360576,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000073,74,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus papiinealpha2,ICTV19990975,E,papiine alphaherpesvirus 2; herpesvirus papio 2,PaAHV2; HPV2,X313,DQ149153,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000074,75,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha1,ICTV201856395,E,pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,PtHAV1; FBAHV1,,AB825953,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000075,76,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha2,ICTV202214016,E,pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus,PtAHV2; PLAHV,,LC492974,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000076,77,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus saimiriinealpha1,ICTV19951036,E,saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,SaAHV1; HVS1,MV 5-4,HM625781,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
VMR1000077,78,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha1,ICTV19870546,E,bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,BoAHV1; IBRV,Cooper/NVSL challenge 97-11,JX898220,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
